label,Low,Med,High
Brand Boycott,-0.020799,0.010430,-0.003359
CEO Resignation (implied pressure on CEO),,,-0.005664
Customer Lawsuit,,0.032659,-0.028179
Customer Lawsuit (potential - expressed frustration could lead to legal action),,,0.013570
Cybersecurity Risk,,0.001299,0.011233
Data Breach Incident,,0.001299,0.011233
ESG Scandal,,0.058080,-0.009929
Election Result Impact,,-0.028684,0.002398
Employment Data,,,-0.002364
Environmental Impact,,0.003122,
Fiscal Stimulus,,0.009457,0.000936
Geopolitical Tension,,0.000190,-0.027596
Industry Regulation Change,,0.014738,
Influencer Endorsement,0.010828,0.026173,
Leadership Change,,-0.008951,-0.005664
Litigation Risk,,0.002978,-0.005664
Lobbying Activity (implied - falls under Regulatory Relaxation as the aim is to *ease* supervision),,-0.004809,
Meme Stock Activity,0.005299,-0.014385,
Negative Press,,0.011963,-0.004992
New Product Launch,-0.011741,-0.012204,
None of the provided tags are relevant to this text. It is an advertisement for an item for sale on eBay.,0.011168,,
None of the provided tags are relevant to this text. It is an advertisement for vintage porcelain plates on eBay.,,0.005877,
None of the provided tags are relevant to this text. It is simply an advertisement for a product (matcha green tea) on eBay.,0.000835,,
None of the provided tags are relevant to this text. It's a motivational tweet from Danone and doesn't contain any financial or market-related information.,,,0.008876
None of the provided tags are relevant to this text. This is a customer review of a service experience and does not contain any financial or market-related information.,,-0.104167,
None of the provided tags are relevant to this text. This is a listing for an item on eBay and does not contain any financial or market-related information.,0.011168,,
None of the provided tags are relevant to this text. This is a product listing/advertisement for a necklace on eBay.,0.021363,,
None of the provided tags are relevant to this text. This is an advertisement for a collectible item on eBay.,0.023940,,
None of the provided tags are relevant to this text. This is an advertisement for art being sold on eBay.,,0.005877,
None of the provided tags are relevant to this text. This is an advertisement for jewelry on eBay.,,0.017493,
None of the provided tags are relevant to this text. This is simply an advertisement for a used laptop on eBay.,0.004720,,
None.,,,-0.002845
Policy Change (implied - relating to environmental regulations),,0.003122,
Political Commentary (though not a direct market event,,,0.030286
Political Risk,,,0.002398
Political Sentiment,,0.016298,
Positive Media Coverage,,0.005216,-0.001029
Positive Media Coverage (potential,,-0.002845,
Positive Media Coverage (potentially,,-0.052609,
"Product Recall (implied - ""bricked"" suggests a faulty update leading to unusable devices)",,0.008095,
Regulatory Crackdown,,-0.000844,-0.000523
Regulatory Relaxation,,-0.004809,
Retail Investor Buzz,-0.005503,-0.004595,-0.000512
Retail Investor Buzz (potentially,,,-0.005158
Social Media Backlash,-0.020799,0.013667,0.000930
Social Media Backlash (potential,0.000835,-0.002845,
Social Media Backlash (potentially,,,0.003409
Social Media Backlash (potentially - depending on context of replies/engagement),0.000292,,
"Social Media Backlash (potentially - depending on tone interpreted from ""hope it's not a trick!"")",,-0.035435,
Speculation/Rumor,-0.005332,-0.002433,-0.010071
Speculation/Rumor (due to potential market reaction to the news),,-0.010287,
Speculation/Rumor (due to the hashtag-driven nature and potential for collecting/speculation on vintage items),,0.004720,
Speculation/Rumor (due to the promotional nature and use of hashtags - could indicate trending item/activity),,-0.018981,
Speculation/Rumor (given the promotional nature and link to an eBay listing with hashtags - suggests potential for trending/buzz),-0.022317,,
Speculation/Rumor (regarding impact of political funding).,,,0.030286
Speculation/Rumor (regarding potential demand/resale value),0.000835,,
Stock Price Drop,,,-0.002983
Supply Chain Disruption,,0.014220,0.002755
Supply Chain Disruption (potential - delays *could* indicate this),,,0.000736
This text is clearly about a vintage collectible item being sold on eBay. It has absolutely no relevance to financial markets. Therefore,0.021363,,
This text is clearly an advertisement and does not contain any financial information. Therefore,0.004720,,
This text is clearly an advertisement for a product (LED lights for trucks/trailers) on eBay. It doesn't relate to any financial market events or concepts. Therefore,-0.004886,,
This text is clearly an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,0.003862,,
This text is clearly an advertisement for a product on eBay. It doesn't relate to any financial market events or concepts. Therefore,,0.011168,
This text is clearly an advertisement for jewelry beads on eBay. It does not contain any financial information or relate to market events. Therefore,-0.003445,,
This text is clearly unrelated to financial markets. It's an advertisement for gemstone beads on eBay. Therefore,-0.018157,,
This text is completely irrelevant to financial markets. It's an advertisement for a used military uniform on eBay.,,0.002383,
This text is essentially an advertisement for a product on eBay. It has no relevance to financial markets. Therefore,0.017493,,
This text is overwhelmingly focused on retail/e-commerce listings and contains no financial information. Therefore,,0.017493,
This text is simply an advertisement for a product on eBay. It does not contain any financial information or relate to market events. Therefore,-0.003445,,
Trade Policy Change,,0.002880,-0.007801
Viral Marketing Campaign,0.007819,-0.010152,-0.006805
depending on context - could be promoting or reacting to something),0.000835,,
depending on context - the hashtag usage suggests trending topic/discussion),,,0.003409
depending on how the hashtag campaign unfolds - could generate negative sentiment if perceived as exploitative),,-0.002845,
"depending on interpretation of ""reflects on his #First100days"")",,-0.052609,
"depending on interpretation of showing ""wins"")",,-0.052609,
due to social media aspect),,,-0.005158
if the campaign is successful and generates positive attention for T-Mobile).,,-0.002845,
it *could* lead to Brand Boycott/Customer Lawsuit - but is weak),,,0.030286
it doesn't fit any of the provided market-relevant explanation tags.,,0.017493,
it doesn't fit any of the provided tags.,0.001111,,
no relevant tags apply.,-0.018157,,
no tags apply.,0.011323,0.011168,
